product_id|model|label|description|category_id|brand|image
1000027|MBS 33 series|transmetteur de pression relative|Le transmetteur de pression MBS 33 est conçu pour être utilisé dans quasiment toutes les applications industrielles et offre une mesure de pression fiable, même dans des conditions environnementales ...|10109|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12228030.jpg
1000028|MEP 2250 series|pressostat électronique||10110|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12225170.jpg
1000029|MEP 2650 series|pressostat électronique||10110|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12225381.jpg
1000030|BCP|pressostat pour vapeur|BCP, Pressostat / Limiteur de pression Le BCP représente une gamme de pressostats dédiés aux contrôle et la sécurité de la pression de la vapeur et des chaudières à accumulation. Le BCP intègre un micro-contact ...|10110|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-5764895.jpg
1000031|CPT 200 series|jauge à vide piézo||10111|Pfeiffer Vacuum|http://img.directindustry.fr/images_di/photo-m2/14656-6075951.jpg
1000032|RPT 200 series|jauge à vide Pirani||10111|Pfeiffer Vacuum|http://img.directindustry.fr/images_di/photo-m2/14656-6013909.jpg
1000033|PPT 200|jauge à vide Pirani||10111|Pfeiffer Vacuum|http://img.directindustry.fr/images_di/photo-m2/14656-6013917.jpg
1000034|PG23HP-P|manomètre analogique||10112|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-12197585.jpg
1000035|GDI-063|manomètre à cadran|Applications Equipement moyenne tension Surveillance de densité de gaz pour cuves de gaz SF6 ferméesParticularités Boîtier et parties en contact avec le fluide en acier inox Affichage local de la pression standardisée à 20 ...|10112|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11938565.jpg
1000036|GDI-100|manomètre à cadran|Applications Equipement moyenne et haute tension Surveillance de densité de gaz pour cuves de gaz SF6 ferméesParticularités Boîtier et parties en contact avec le fluide en acier inox Affichage local de la pression standardisée ...|10112|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11938599.jpg
1000037|990.10|séparateur à membrane avec raccord fileté|... Particularités ■ Raccord process avec filetage pour obtenir un raccord fileté direct ■ Version avec membrane interne, composants de séparateur vissés ensemble ■ Large sélection de raccords process ...|10113|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-6728351.jpg
1000038|990.22, 990.52 series|séparateur à membrane avec raccord fileté|Applications ■ Production d'aliments et de boissons ■ Industrie pharmaceutique, bio-technologie, production d'agents actifs ■ Applications aseptiques Particularités ■ Démontage aisé pour nettoyage ■ Nettoyage rapide du point de mesure, ...|10113|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-8735222.jpg
1000039|990.24|séparateur à membrane avec raccord fileté|Applications ■ Pour installation dans des unités d'accès VARINLINE® ■ Production d'aliments et de boissons ■ Pour des laiteries, produits laitiers ■ Brasseries ■ Production de boissons non alcoolisées Particularités ■ Nettoyage rapide ...|10113|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-3368729.jpg
1000040|Pascal 100|calibrateur de température|... Mesure et simulation des paramètres suivants: pression, signaux électriques (mA, mV, V, Ω), température (TC, RTD), fréquence et impulsion Grand afficheur avec écran tactile Génération interne de pression ...|10114|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11646173.jpg
1000041|Pascal ET|calibrateur de température|... Laboratoires de mesure et contrôle Assurance qualitéParticularités Mesure et simulation des paramètres suivants : pression, signaux électriques (mA, mV, V, Ω), tempéature (TC, RTD), fréuence et impulsions ...|10114|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11646346.jpg
1000042|BCS10|système de calibration de pression|... atelierParticularités Génération de pression à l'aide d'une pompe à main Manomètre numérique de précision avec précision 0,05 % Concept de raccord varié des appareils à tester Réglage précis ...|10114|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11947087.jpg
1000043|Ultraprobe 100S-P|détecteur de fuites d'air comprimé|Détecteur de fuites facile à utiliser pour réduire les dépenses énergétiques et les coûts. L’Ultraprobe® 100 est un outil pratique pour la détection de fuite. Simple à utiliser et rentable! Pourquoi ...|10115|UE SYSTEMS|http://img.directindustry.fr/images_di/photo-m2/7227-12685822.jpg
1000044|Ultraprobe 3000LRM|détecteur de fuites d'air comprimé|... Ultratrend DMS™: - Téléchargez les données de fuites via connection USB - Gérez vos données, ajoutez des commentaires & photos - Exportez les données dans des rapports de fuites sous ...|10115|UE SYSTEMS|http://img.directindustry.fr/images_di/photo-m2/7227-12687012.jpg
1000045|Ultraprobe 2000 ATEX|détecteur de fuites de gaz|L’instrument à ultrasons analogique le plus complet avec certification ATEX! Cet instrument intrinsèquement sécurisé permet de détecter tout type de fuite ainsi que d’effectuer des inspections mécaniques et électriques. Intrinsèquement ...|10115|UE SYSTEMS|http://img.directindustry.fr/images_di/photo-m2/7227-12687024.jpg
1000046|AD-1690|testeur d'étanchéité de pipettes||10116|A&D COMPANY, LIMITED|http://img.directindustry.fr/images_di/photo-m2/54946-8919534.jpg
1000047|SDT270|testeur d'étanchéité à ultrasons|Le détecteur ultrasonore SDT270 vous donne un meilleur aperçu de l'état de santé de votre outil de production. Il vous aide à maîtriser les coûts énergétiques, à prévoir les défaillances, à améliorer la qualité de vos produits tout en ...|10116|SDT Ultrasound Solutions|http://img.directindustry.fr/images_di/photo-m2/30375-12381108.jpg
1000048|SDT200|testeur d'étanchéité à ultrasons|Le détecteur ultrasonore SDT200 vous donne un meilleur aperçu de l'état de santé de votre outil de production. Il vous aide à maîtriser les coûts énergétiques, à prévoir les défaillances, à améliorer la qualité de vos produits tout en ...|10116|SDT Ultrasound Solutions|http://img.directindustry.fr/images_di/photo-m2/30375-12143623.jpg
1000049|PK II|balance manométrique pneumatique||10117|AMETEK Sensors, Test & Calibration|http://img.directindustry.fr/images_di/photo-m2/28936-12363615.jpg
1000050|RK|balance manométrique pneumatique||10117|AMETEK Sensors, Test & Calibration|http://img.directindustry.fr/images_di/photo-m2/28936-12363627.jpg
1000051|HK|balance manométrique pneumatique||10117|AMETEK Sensors, Test & Calibration|http://img.directindustry.fr/images_di/photo-m2/28936-12363639.jpg
1000052||détecteur de niveau à flotteur|Les détecteurs de niveau standard peuvent ainsi être utilisés pour la simple émission d’un signal en cas de dépassement positif ou négatif d’un niveau de liquide déterminé, de même que ...|10118|BERNSTEIN AG|http://img.directindustry.fr/images_di/photo-m2/15137-11477417.jpg
1000053||détecteur de niveau à flotteur|Détecteurs de niveau miniatures ont été développés pour les petits récipients tels que ceux utilisés dans la construction de véhicules, de distributeurs automatiques de boissons, de climatiseurs etc. Large ...|10118|BERNSTEIN AG|http://img.directindustry.fr/images_di/photo-m2/15137-11477446.jpg
1000054||détecteur de niveau à flotteur|... que d’un seul appareil au lieu de plusieurs interrupteurs, et évite ainsi un stockage encombrant. Large gamme de détecteurs de niveau pour de nombreuses applications Jusqu'à 4 modules de commutation ...|10118|BERNSTEIN AG|http://img.directindustry.fr/images_di/photo-m2/15137-11477479.jpg
1000055|OPTISOUND 3000 C series|capteur de niveau à ultrasons|Transmetteur de niveau à ultrasons pour liquides et solides en vrac Les capteurs ultrasoniques OPTISOUND 3010 C, 3020 C et 3030 C conviennent particulièrement à la mesure de liquides, mais également ...|10119|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12334361.jpg
1000056|BM 500|capteur de niveau à potentiomètre|Mesure de niveau potentiométrique pour liquides Le jaugeur de niveau BM 500 fonctionne selon le principe de la mesure potentiométrique. Il est dédié à tous les produits qui présentent une conductivité ...|10119|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12319827.jpg
1000057|OPTIBAR LC 1010|sonde de niveau capacitive|Sonde de niveau immergeable avec membrane de mesure en céramique La sonde de niveau immergeable OPTIBAR LC 1010 est développée pour la mesure en continu de liquides ...|10119|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12317046.jpg
1000058|LSP|transmetteur de niveau à potentiomètre|Transmetteur de niveau potentiométrique Matériaux en contact avec le fluide en acier résistant aux acides ou PEEK Compact et design hygienique Approuvés 3-A, piéces conformes FDA et ...|10120|Baumer Group|http://img.directindustry.fr/images_di/photo-m2/179-12707798.jpg
1000059|POWERFLEX 2200 C/F/S/D|transmetteur de niveau radar|Transmetteur de niveau radar à ondes guidées (TDR) pour l'industrie nucléaire Le transmetteur de niveau TDR 2 fils HART® alimenté par la boucle courant mesure la distance, ...|10120|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12334370.jpg
1000060|OPTIWAVE 6400 C|transmetteur de niveau radar|Transmetteur de niveau radar (FMCW) pour les solides : des granulés jusqu'aux roches L'OPTIWAVE 6400 est un transmetteur de niveau radar (FMCW) 2 fils 24 GHz pour ...|10120|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12307817.jpg
1000061|HGFT|indicateur de niveau d'huile|... avec additifs, aux graisses, aux acides et aux alcalis. Plaquette à étoile Aluminium anodisé opaque avec point central de niveau en couleur rouge. HGFT/SL: sans plaquette. Joint d'étanchéité Rondelle plate en caoutchouc ...|10121|ELESA|http://img.directindustry.fr/images_di/photo-m2/9336-2805785.jpg
1000062|HRT.|indicateur de niveau d'huile|... solvants, aux huiles avec additifs, aux graisses, aux acides et aux alcalis. Plaquette Aluminium laqué blanc avec ligne de niveau en couleur rouge. Joint d'étanchéité OR en caoutchouc synthétique NBR. Température maximum ...|10121|ELESA|http://img.directindustry.fr/images_di/photo-m2/9336-2686173.jpg
1000063|HCFE-EX|indicateur de niveau d'huile|... en caoutchouc synthétique NBR. Conformité à la directive ATEX Les indicateurs de niveau d'huile série HCFE. sont conformes aux Normes de Santé et Sécurité prévus dans la Directive Européenne ATEX ...|10121|ELESA|http://img.directindustry.fr/images_di/photo-m2/9336-2686467.jpg
1000064|BT1|sonde de température Pt100|... pH, sont fortement dépendantes de la température et de ce fait, nécessitent l’utilisation d’une sonde de température. - Sonde de température en verre, - Accepte ...|10201|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12678909.jpg
1000065||capteur de température Pt100|... classe A/B répondent à des besoins diversifiés : mesure de température d’air ambiant, de liquide, de produits pâteux, visqueux ou industriels dans un domaine de - 100 °C à 600 °C. Chaque capteur est ...|10201|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12688818.jpg
1000066|MBT 3252 series|capteur de température à résistance||10201|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12216452.jpg
1000067|MZ6 series|thermistance PTC||10202|Hengxin Precision Electrical Equipment|http://img.directindustry.fr/images_di/photo-m2/121789-11996389.jpg
1000068||thermistance CTN|Hautement sensibles aux faibles changements de température, bonne précision sur une plage de température limitée|10202|Watlow|http://img.directindustry.fr/images_di/photo-m2/7347-4184697.jpg
1000069|5640 / 5641 / 5642 / 5643 / 5644|thermistance CTN||10202|Fluke Calibration|http://img.directindustry.fr/images_di/photo-m2/17801-2686297.jpg
1000070|MBT 5111 series|thermocouple de type K|... turbines et des compresseurs dans des applications stationnaires et marines.Cette sonde de température est fondée sur un thermocouple de type K qui mesure les températures jusqu'à 800°C. La fine construction donne un ...|10203|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12216519.jpg
1000071|MBT 5113 series|thermocouple de type K|... turbines et des compresseurs dans des applications stationnaires et marines.Cette sonde de température est fondée sur un thermocouple de type K qui mesure les températures jusqu'à 800°C. L'insert de mesure peut être changé ...|10203|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12216556.jpg
1000072|MBT 5114 series|thermocouple||10203|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12216597.jpg
1000073|MBT 9110 series|transmetteur de température Pt100|... Thermocouple.Les transmetteurs MBT 9110, dans le programme standard, sont livrés dans un boîtier mais ils sont également utilisés en tant que partie intégrante de certains capteurs de température.Le transmetteur ...|10204|Danfoss Industrial Automation|http://img.directindustry.fr/images_di/photo-m2/40815-12216887.jpg
1000074|TRA-C30|transmetteur de température Pt100|Sonde de température compacte tous usages OPTITEMP TRA-C30 La sonde de température OPTITEMP TRA-C30 est une sonde compacte pour la mesure de gaz, de liquides et de solides, dans des applications courantes ...|10204|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12307551.jpg
1000075|TRA-C20|transmetteur de température Pt100|... 'espace disponible constitue un défi. Avec un transmetteur intégré préconfiguré pour une plage de température fixe, la sonde est simple à commander, facile à monter et à entretenir. La sonde de température ...|10204|KROHNE Messtechnik|http://img.directindustry.fr/images_di/photo-m2/5863-12307692.jpg
1000076|B series|connecteur RF|Multipolaire de 2 à 64 contacts Multipolaire ou mixte: coaxial de 1 à 14 contacts Fluidique de 1 à 4 contacts Haute tension de 2 à 21 cts Fibre optique de 1 à 14 cts Thermocouple de 2 à 64 contacts Fibre optique Fluidique Caractéristiques ...|10205|LEMO|http://img.directindustry.fr/images_di/photo-m2/28792-5116235.jpg
1000077|New S series design|connecteur RF||10205|LEMO|http://img.directindustry.fr/images_di/photo-m2/28792-11434204.jpg
1000078|S series|connecteur radio-fréquence|Description: Unipolaire Coaxial 50 et 75 Ω Multipolaire de 2 à 106 contacts Triaxial 50 et 75 Ω Haute tension Multipolaire ou mixte: Coaxial de 1 à 8 contacts Haute tension de 2 à 8 contacts Thermocouple de 2 à 6 contacts Caractéristiques ...|10205|LEMO|http://img.directindustry.fr/images_di/photo-m2/28792-5116311.jpg
1000079|TLZ35|thermostat numérique|Thermostat, 1 entrée et jusqu'à 2 sorties Régulateur digital 4 modules DIN, 70 x 84 mm, profondeur 60 mm 1 afficheur rouge de 4 digits, h 12 mm 1 entrée pour sonde de température : PTC KTY81-121 (990 Ω @ ...|10206|ASCON TECNOLOGIC S.r.l|http://img.directindustry.fr/images_di/photo-m2/6014-9006685.jpg
1000080|Z31A|thermostat électronique|Régulateur digital 78x35, profondeur 64 mm ou 75.5 mm Clavier mécanique ou ""Sensitif"" Protection en face avant IP65 avec joint d'étanchéité 1 afficheur rouge ou bleu de 3 digits, h 15.5mm 1 entrée pour sonde température: ...|10206|ASCON TECNOLOGIC S.r.l|http://img.directindustry.fr/images_di/photo-m2/6014-9000079.jpg
1000081|E51A|thermostat numérique|Thermostat avec 1 sortie Régulateur digital 65 x 33 mm, profondeur 50 mm Face avant IP65 avec garniture 1 affichage rouge 3 digits, h 14 mm 1 entrée pour sonde de température: PTC KTY81-121 (990 Ω @ 25 ...|10206|ASCON TECNOLOGIC S.r.l|http://img.directindustry.fr/images_di/photo-m2/6014-9000331.jpg
1000082|EE33-M|transmetteur d'humidité relative|... de mesure avec un capteur d'humidité monolithique Prévention de la condensation avec le double système de chauffe (capteur et sonde chauffés) Temps de réponse court et récupération rapide après condensation Mesures ...|10207|E+E ELEKTRONIK|http://img.directindustry.fr/images_di/photo-m2/13965-12118387.jpg
1000083|EE211|transmetteur d'humidité relative|... 'utilisateur peut effectuer l'ajustage en un ou deux points d'humidité et de température. La sonde de température peut également être ajustée séparément, pour la version métallique de ...|10207|E+E ELEKTRONIK|http://img.directindustry.fr/images_di/photo-m2/13965-12118496.jpg
1000084|EE150|transmetteur d'humidité relative||10207|E+E ELEKTRONIK|http://img.directindustry.fr/images_di/photo-m2/13965-12118987.jpg
1000085|ProSens|appareil de mesure d'humidité température||10208|SIMEX Sp. z o.o.|http://img.directindustry.fr/images_di/photo-m2/37901-12444025.jpg
1000086|PCE-310|hygromètre numérique|Thermohygromètre pour déterminer l'humidité ambiante, la température ambiante, le point de rosée, la température superficielle grâce à un capteur externe optionnel - Thermohygromètre d'usage simple - Ce thermohygromètre mesure l'humidité ...|10208|PCE Instruments|http://img.directindustry.fr/images_di/photo-m2/37414-6651697.jpg
1000087|PCE-555|hygromètre numérique|Hygromètre PCE-555 Hygromètre portable à format de poche pour mesurer l’humidité ambiante, la température ambiante, le point de rosée et la température de boule humide.|10208|PCE Instruments|http://img.directindustry.fr/images_di/photo-m2/37414-8369478.jpg
1000088|t031 TVV-EV Series|anémomètre à coupelle||10209|SIAP+MICROS SRL|http://img.directindustry.fr/images_di/photo-m2/158525-12604989.jpg
1000089|T008 TVDV|anémomètre à coupelle||10209|SIAP+MICROS SRL|http://img.directindustry.fr/images_di/photo-m2/158525-8485788.jpg
1000090|T031 TVV|anémomètre à coupelle||10209|SIAP+MICROS SRL|http://img.directindustry.fr/images_di/photo-m2/158525-8485837.jpg
1000091|C.A 847|indicateur d'humidité|Dans un boîtier compact protégé par une gaine antichoc, cet indicateur d’humidité à pointes C.A 847 de la gamme Physics Line contrôle le taux d’hygrométrie de 6 à 100 % dans des matériaux de construction tels que le plâtre, le bois, crépis. ...|10210|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12688548.jpg
1000092|MIA, CIA|indicateur d'humidité||10210|Emerson Commercial & Residential Solutions|http://img.directindustry.fr/images_di/photo-m2/34558-9145581.jpg
1000093|AMI series|indicateur d'humidité||10210|Emerson Commercial & Residential Solutions|http://img.directindustry.fr/images_di/photo-m2/34558-11259478.jpg
1000094|C.A 1822|thermomètre à sonde|... génération automatique de rapport Description Compact et aimanté pour une utilisation fixe ou portative le C.A 1822 est un thermomètre de contact précis, polyvalent et endurant. Doté d’un large afficheur rétroéclairé, ...|10211|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12682769.jpg
1000095|C.A 1823|thermomètre RTD|... Transfer avec génération automatique de rapport Description Thermomètre à sonde C.A 1823 Compact et aimanté pour une utilisation fixe ou portative le C.A 1823 est un thermomètre de contact précis, ...|10211|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12682817.jpg
1000096|C.A 871|thermomètre à infrarouge|Description Le thermomètre C.A 871 permet des mesures de température à distance, simples et précises. Etendue de mesure : - 40 °C à + 538 °C Précision : ± (2,5 % de la lecture + 2 °C) Résolution ...|10211|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12688267.jpg
1000097|Blood Temp 10|indicateur de température||10212|SpotSee|http://img.directindustry.fr/images_di/photo-m2/23263-11877262.jpg
1000098||indicateur de température||10212|SpotSee|http://img.directindustry.fr/images_di/photo-m2/23263-11877291.jpg
1000099|ColdMark series|indicateur de température||10212|SpotSee|http://img.directindustry.fr/images_di/photo-m2/23263-9033044.jpg
1000100|C.A 1886|caméra thermographique|... Grâce à ses performances haut de gamme cette caméra vous accompagnera du contrôle de premier niveau jusqu’au diagnostic thermographique expert. Détecteur : 160 x 120 Sensibilité thermique ...|10213|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12688204.jpg
1000101|C.A 1888|caméra thermographique|... Grâce à ses performances haut de gamme cette caméra vous accompagnera du contrôle de premier niveau jusqu’au diagnostic thermographique expert. Détecteur : 384 x 288 Sensibilité thermique ...|10213|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12688248.jpg
1000102|C.A 1954|caméra d'imagerie thermique|... utilisation simplifiée, la caméra thermique C.A 1954 convient à toutes les applications dans les secteurs du bâtiment, de la maintenance électrique et mécanique pour : - les audits thermiques - ...|10213|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12507376.jpg
1000103|C.A 1621|calibrateur de température|Compact et simple d’utilisation le calibrateur de température Thermocouple est capable de mesurer et de simuler jusqu’à 8 types de thermocouple (J, K, T, E, R, S, B, N) ainsi qu’une tension en mV. Alimenté ...|10214|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12673023.jpg
1000104|C.A 1623|calibrateur de température|Compact et simple d’utilisation le calibrateur de température de sondes résistives est capable de mesurer et de simuler jusqu’à 7 types de sondes différentes ainsi qu’une résistance. Alimenté par pile, ...|10214|CHAUVIN ARNOUX|http://img.directindustry.fr/images_di/photo-m2/7692-12673094.jpg
1000105|Pascal 100|calibrateur de température|... Assurance qualitéParicularités Mesure et simulation des paramètres suivants: pression, signaux électriques (mA, mV, V, Ω), température (TC, RTD), fréquence et impulsion Grand afficheur avec écran tactile Génération ...|10214|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11646173.jpg
1000106|BCS10|système de calibration de pression|Applications Test des instruments de mesure de densité de gaz SF6 à l'aide de mesures comparatives Mesure simple sur site, en laboratoire ou en atelierParticularités Génération de pression à l'aide d'une pompe à main Manomètre ...|10215|WIKA Alexander Wiegand SE & Co. KG|http://img.directindustry.fr/images_di/photo-m2/6196-11947087.jpg
1000107|XR20-W|système de calibration pour axe rotatif|Les axes rotatifs sont de plus en plus courants sur les machines-outils et leur exactitude revêt une importance capitale pour la précision générale de la machine. Le XR20-W permet de mesurer la précision de position des axes rotatifs ...|10215|RENISHAW|http://img.directindustry.fr/images_di/photo-m2/5200-5806333.jpg
1000108|ML10|système de calibration laser|Remplacé par le système laser XL-80 XL-80 et mise à niveau du ML10 Bien que nous ne puissions plus proposer de service de réparation pour les ML10 et EC10, nous continuerons à proposer un service de recalibration de tous ces équipements ...|10215|RENISHAW|http://img.directindustry.fr/images_di/photo-m2/5200-5915497.jpg
